Text Id,Text Code,Text Title(TY),Text Title(ESU)
D1118,01-01-01-,ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ
D1119,01-01-02-,དཔེ་མེད་པར་བསྟོད་པ།,དཔེ་མེད་པར་བསྟོད་པ
D1120,01-01-03-,འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།,འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ
D1121,01-01-04-,སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ
D1122,01-01-05-,དོན་དམ་པར་བསྟོད་པ།,དོན་དམ་པར་བསྟོད་པ
D1123,01-01-06-,སྐུ་གསུམ་ལ་བསྟོད་པ།,སྐུ་གསུམ་ལ་བསྟོད་པ
D1124,01-01-07-,སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ།,སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ
D1125,01-01-08-,སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ།,སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ
D1127,01-01-09-,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ།,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་བསྟོད་པ
D1128,01-01-10-,བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།,བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ
D1129,01-01-11-,བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ།,བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ
D1130,01-01-12-,བླ་ན་མེད་པའི་བསྟོད་པ།,བླ་ན་མེད་པའི་བསྟོད་པ
D1131,01-01-13-,འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།,འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ
D1132,01-01-14-,རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ།,རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ
D1133,01-01-15-,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ།,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
D1135,01-01-16-,མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ།,མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ
D1136,01-01-17-,ཕྱག་འཚལ་བའི་བསྟོད་པ།,ཕྱག་འཚལ་བའི་བསྟོད་པ
,01-01-18-,དམྱལ་བ་ནས་འདོན་པའི་བསྟོད་པ།,
